Epoch,loss,Validation loss,Model,Training,split
5,2.749319076538086,2.6857075691223145,ensemble5_cross_covariance_detector30s,stead,0
6,2.923535823822021,3.189039468765259,ensemble5_cross_covariance_detector30s,stead,0
7,3.222684621810913,3.194509506225586,ensemble5_cross_covariance_detector30s,stead,0
8,3.2503087520599365,3.266319513320923,ensemble5_cross_covariance_detector30s,stead,0
9,3.4808716773986816,3.477311611175537,ensemble5_cross_covariance_detector30s,stead,0
10,3.5627222061157227,3.5876657962799072,ensemble5_cross_covariance_detector30s,stead,0
11,3.650978565216065,3.6398520469665527,ensemble5_cross_covariance_detector30s,stead,0
12,3.717576503753662,3.7988221645355225,ensemble5_cross_covariance_detector30s,stead,0
13,3.825504779815674,3.809203863143921,ensemble5_cross_covariance_detector30s,stead,0
14,3.869509220123291,3.864323139190674,ensemble5_cross_covariance_detector30s,stead,0
0,6.4140825271606445,5.069164752960205,ensemble5_cross_covariance_detector30s,stead,1
1,4.528340816497803,3.891499280929565,ensemble5_cross_covariance_detector30s,stead,1
2,3.386035203933716,3.011399507522583,ensemble5_cross_covariance_detector30s,stead,1
3,2.8066577911376958,2.7868940830230717,ensemble5_cross_covariance_detector30s,stead,1
4,2.784665584564209,2.821767568588257,ensemble5_cross_covariance_detector30s,stead,1
5,2.7293894290924072,2.7787320613861084,ensemble5_cross_covariance_detector30s,stead,1
6,2.642951250076294,2.6572611331939697,ensemble5_cross_covariance_detector30s,stead,1
7,2.6009907722473145,2.645756244659424,ensemble5_cross_covariance_detector30s,stead,1
8,2.636892795562744,2.674290657043457,ensemble5_cross_covariance_detector30s,stead,1
9,2.754642963409424,2.8239970207214355,ensemble5_cross_covariance_detector30s,stead,1
10,2.8511276245117188,2.882620096206665,ensemble5_cross_covariance_detector30s,stead,1
11,2.9389986991882324,2.986732244491577,ensemble5_cross_covariance_detector30s,stead,1
12,3.032829999923706,3.026816368103028,ensemble5_cross_covariance_detector30s,stead,1
13,3.0465457439422607,3.0737287998199463,ensemble5_cross_covariance_detector30s,stead,1
14,3.083179235458374,3.115086078643799,ensemble5_cross_covariance_detector30s,stead,1
0,6.21585750579834,4.96672248840332,ensemble5_cross_covariance_detector30s,stead,2
1,4.435173034667969,3.996282815933228,ensemble5_cross_covariance_detector30s,stead,2
2,3.473205327987671,2.9530158042907715,ensemble5_cross_covariance_detector30s,stead,2
3,2.8030846118927,2.7503085136413574,ensemble5_cross_covariance_detector30s,stead,2
4,2.687460422515869,2.6077768802642822,ensemble5_cross_covariance_detector30s,stead,2
5,2.6395375728607178,2.6168572902679443,ensemble5_cross_covariance_detector30s,stead,2
6,2.583238124847412,2.5524544715881348,ensemble5_cross_covariance_detector30s,stead,2
7,2.626362562179565,2.659310340881348,ensemble5_cross_covariance_detector30s,stead,2
8,2.7223305702209477,2.731951951980591,ensemble5_cross_covariance_detector30s,stead,2
9,2.779952049255371,2.816270351409912,ensemble5_cross_covariance_detector30s,stead,2
10,2.825152635574341,2.8667781352996826,ensemble5_cross_covariance_detector30s,stead,2
11,2.8956410884857178,2.9494807720184326,ensemble5_cross_covariance_detector30s,stead,2
12,3.0440354347229004,3.0364065170288086,ensemble5_cross_covariance_detector30s,stead,2
13,3.10913610458374,3.170532464981079,ensemble5_cross_covariance_detector30s,stead,2
14,3.12957763671875,3.0930118560791016,ensemble5_cross_covariance_detector30s,stead,2
0,6.287764549255371,4.918583393096924,ensemble5_cross_covariance_detector30s,stead,3
1,4.29738712310791,3.61479377746582,ensemble5_cross_covariance_detector30s,stead,3
2,3.031251907348633,2.6173653602600098,ensemble5_cross_covariance_detector30s,stead,3
3,2.4846084117889404,2.4731016159057617,ensemble5_cross_covariance_detector30s,stead,3
4,2.650585412979126,2.7339563369750977,ensemble5_cross_covariance_detector30s,stead,3
5,2.742457866668701,2.731869697570801,ensemble5_cross_covariance_detector30s,stead,3
6,2.791115522384644,2.823653221130371,ensemble5_cross_covariance_detector30s,stead,3
7,3.2160394191741943,3.11452865600586,ensemble5_cross_covariance_detector30s,stead,3
8,3.032399177551269,2.927011013031006,ensemble5_cross_covariance_detector30s,stead,3
9,3.017366886138916,3.0196242332458496,ensemble5_cross_covariance_detector30s,stead,3
10,2.9757273197174072,2.850218772888184,ensemble5_cross_covariance_detector30s,stead,3
11,2.9674015045166016,3.01270055770874,ensemble5_cross_covariance_detector30s,stead,3
12,3.0995187759399414,3.09965181350708,ensemble5_cross_covariance_detector30s,stead,3
13,3.2342405319213867,3.2472734451293945,ensemble5_cross_covariance_detector30s,stead,3
14,3.317235946655273,3.2960097789764404,ensemble5_cross_covariance_detector30s,stead,3
0,6.313351631164551,5.00121545791626,ensemble5_cross_covariance_detector30s,stead,4
1,4.487216949462891,3.9124467372894287,ensemble5_cross_covariance_detector30s,stead,4
2,3.477447986602783,3.0076797008514404,ensemble5_cross_covariance_detector30s,stead,4
3,2.8162834644317627,2.7466342449188232,ensemble5_cross_covariance_detector30s,stead,4
4,2.784701347351074,2.7602903842926025,ensemble5_cross_covariance_detector30s,stead,4
5,2.7943480014801025,2.866960048675537,ensemble5_cross_covariance_detector30s,stead,4
6,2.77561092376709,2.715651273727417,ensemble5_cross_covariance_detector30s,stead,4
7,2.7780096530914307,2.797473669052124,ensemble5_cross_covariance_detector30s,stead,4
8,2.8720147609710693,2.914285182952881,ensemble5_cross_covariance_detector30s,stead,4
9,3.021478176116944,2.952642679214477,ensemble5_cross_covariance_detector30s,stead,4
10,3.0233640670776367,3.0774052143096924,ensemble5_cross_covariance_detector30s,stead,4
11,3.165532350540161,3.29801869392395,ensemble5_cross_covariance_detector30s,stead,4
12,3.3585500717163086,3.378825664520264,ensemble5_cross_covariance_detector30s,stead,4
13,3.559959173202514,3.4924638271331787,ensemble5_cross_covariance_detector30s,stead,4
14,3.735060453414917,3.963768482208252,ensemble5_cross_covariance_detector30s,stead,4
0,1.0377472639083862,1.0394960641860962,sta_lta_detector,instance,0
1,0.8966270089149475,0.8283898830413818,sta_lta_detector,instance,0
2,0.7968251705169678,0.7796801924705505,sta_lta_detector,instance,0
3,0.7572147250175476,0.7399507164955139,sta_lta_detector,instance,0
4,0.6640207767486572,0.6307802200317383,sta_lta_detector,instance,0
5,0.5869461894035339,0.5726721882820129,sta_lta_detector,instance,0
6,0.5404130220413208,0.5191245675086975,sta_lta_detector,instance,0
7,0.5010812282562256,0.4980051815509796,sta_lta_detector,instance,0
